animeTitle	Kimagure Mercy
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	532
animeRank	
animePopularity	11478
animeDescription	"Animated PV created for the release of Hachioji-P's「Eight -THE BEST OF 八王子P-」

It tells the story of a girl who is sick of dealing with a man who is shallow, and only interested in her when he wants something from her. After listening to his constant excuses, she finally has enough with the disinterest he has in her, and leaves him.

(Source: Vocaloid Wiki)"
animeRelated	[]
animeCharacters	['Hatsune, Miku']
animeVoices	[]
animeStaff	[['Hatsune, Miku', 'Theme Song Performance']]
