animeTitle	Pastel Life
animeType	TV
animeNumEpisode	6
releaseDate	2018-05-17 00:00:00
endDate	2018-06-21 00:00:00
animeNumMembers	5177
animeScore	6.59
animeUsers	2597
animeRank	5630
animePopularity	6911
animeDescription	"A Nico Live broadcast of BanG Dream! franchise on Monday has announced a spin-off anime featuring one of the units in the franchise, Pastel*Palettes. Titled Pastel Life, the slice-of-life series is yet to announce its type and broadcast details.

(Source: MAL News)"
animeRelated	['BanG Dream!']
animeCharacters	['Maruyama, Aya', 'Hikawa, Hina', 'Shirasagi, Chisato', 'Yamato, Maya', 'Wakamiya, Eve']
animeVoices	['Maeshima, Ami', 'Ozawa, Ari', 'Uesaka, Sumire', 'Nakagami, Ikumi', 'Hata, Sawako']
animeStaff	[['Uesaka, Sumire', 'Theme Song Performance'], ['Ozawa, Ari', 'Theme Song Performance'], ['Maeshima, Ami', 'Theme Song Performance'], ['Nakagami, Ikumi', 'Theme Song Performance']]
