animeTitle	KimiKiss Pure Rouge
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	37428
animeRank	
animePopularity	1825
animeDescription	"Kouichi Sanada and Kazuki Aihara's childhood friend Mao Mizusawa has returned after living in France for a couple of years. Kouichi is surprised to learn that, since her parents are remaining overseas for the time being, his mother has agreed to let Mao stay with them. The three friends help each other deal with the ups and downs of high school romance.

(Source: ANN)"
animeRelated	['KimiKiss: Various Heroines', 'KimiKiss Pure Rouge: Love Fighter']
animeCharacters	['Futami, Eriko', 'Mizusawa, Mao', 'Hoshino, Yuumi', 'Sakino, Asuka', 'Aihara, Kazuki', 'Kai, Eiji', 'Sanada, Kouichi', 'Satonaka, Narumi', 'Aihara, Nana', 'Kawada, Tomoko']
animeVoices	['Tanaka, Rie', 'Ikezawa, Haruna', 'Koshimizu, Ami', 'Hirohashi, Ryou', 'Mizushima, Takahiro', 'Sakurai, Takahiro', 'Hino, Satoshi', 'Mizuhashi, Kaori', 'Nogawa, Sakura', 'Kawasumi, Ayako']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Kasai, Kenichi', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Takashima, Daisuke', 'Episode Director']]
