animeTitle	b'Kaikan Phrase'
animeType	b'TV'
animeNumEpisode	44
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	3355
animeRank	
animePopularity	
animeDescription	b'After the break up of their old band, guitarist Yuki & drummer Santa decide to form a new one. They recruit bass player Towa, young guitarist Atsuro, and after much persuasion, vocalist Sakuya. Together they form Lucifer and they struggle to make it in the music business, and also to stay together. As well, they have to deal with personal issues, such as parental objections, and watching their old bands succeed ahead of them. Sakuya is the most troubled band member, as he has to deal with his tragic past, and his relationship with teenaged lyricist Aine.\n'
animeRelated	[b'Kaikan\xe2\x99\xa5Phrase']
animeCharacters	"[b'Ookouchi, Sakuya', b'Yukimura, Aine', b'Toudou, Yukifumi', b'Sakuma, Kazuto', b'Kiryuu, Atsuro', b'Nagai, Yoshihiko', b'Itou, Misa', b'Kiryuu, Yuuka', b'Toudou, Mother', b""Atsuro's Teacher""]"
animeVoices	[b'\nMatsukaze, Masaya\nJapanese\n', b'\nEnomoto, Atsuko\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nChiba, Susumu\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nKatsuki, Masako\nJapanese\n', b'\nIshimura, Tomoko\nJapanese\n', b'\nSatou, Ai\nJapanese\n', b'\nKawashima, Tokuyoshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nFujimoto, Yoshitaka\n\nEpisode Director, Storyboard\n\n', b'\nSuzuki, Iku\n\nEpisode Director, Storyboard\n\n', b'\nSuzuki, Takuo\n\nEpisode Director, Storyboard\n\n']
