animeTitle	Military! Special
animeType	Special
animeNumEpisode	1
releaseDate	2015-03-20 00:00:00
endDate	
animeNumMembers	
animeScore	5.35
animeUsers	2428
animeRank	
animePopularity	7123
animeDescription	Episode 13 included with the Blu-ray/DVD release. 
animeRelated	['Military!']
animeCharacters	['Shakirov', 'Yano, Souhei', 'Grummans, Aria', 'Haruka', 'Lutgalnikov', 'Cecilie', 'Mamo-chan', 'Grue', 'Yano, Souichi', 'Mizuno, Yukari']
animeVoices	['Minase, Inori', 'Yamaya, Yoshitaka', 'Suzuki, Misaki', 'Sakura, Ayane', 'Touyama, Nao', 'Kayano, Ai', 'Arai, Satomi', 'Sakurai, Takahiro', 'Cho', 'Terasaki, Ayano']
animeStaff	[['Minase, Inori', 'Theme Song Performance']]
