animeTitle	Emerald no Oka
animeType	Music
animeNumEpisode	1
releaseDate	2014-01-29 00:00:00
endDate	
animeNumMembers	155
animeScore	
animeUsers	
animeRank	15547
animePopularity	16850
animeDescription	"Music video directed by Kouhei Yoshino for the song Emerald no Oka by Japanese pop duo moumoon in their fifth full-length album ""LOVE before we DIE"". A short version of the music video was released on the avex YouTube channel, with the full version later being included on DVD and Blu-ray along with the release of the album. It was later uploaded to moumoon's official YouTube channel."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
