animeTitle	Yume no Crayon Oukoku
animeType	TV
animeNumEpisode	70
releaseDate	1997-09-07 00:00:00
endDate	1999-01-31 00:00:00
animeNumMembers	3094
animeScore	7.11
animeUsers	623
animeRank	3304
animePopularity	8305
animeDescription	The civilians of the Crayon Kingdom have always view their Princess Silver as a twelve-year old girl with a beautiful smile. However, unknown to them, the princess has 12 bad habits. This has created much distress to the Chameleon Prime Minister and the Crayon ministers for it would be embarassing if this gets out. One day, a party was held to celebrate Princess Silver's twelvth birthday. The princess was trying to seek her Prince Charming that she forgot to take notice of her bad habits. One of the boys at the party was so angry that he changed Silver's parents, the King and Queen, into stone. In order to break the curse and save her parents, Silver decided to set on a journey to locate the boy. Together with her companions, Silver begins her adventure.
animeRelated	['Yume no Crayon Oukoku']
animeCharacters	['Princess Silver', 'Stonston', 'Araessa', 'Prince Cloud', 'The Grim Reaper', 'Ninjippi', 'Horesore', 'Prime Minister Chameleon', 'Tomatomato', 'Tomorokofusuki']
animeVoices	['Tokumitsu, Yuka', 'Takeuchi, Junko', 'Sakata, Osamu', 'Katsuragi, Nanaho', 'Yamaguchi, Ken', 'Matsumoto, Miwa', 'Konishi, Hiroko', 'Nomura, Kenji']
animeStaff	[['Satou, Junichi', 'Director, Episode Director, Storyboard'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard'], ['Yamayoshi, Yasuo', 'Episode Director, Storyboard'], ['Iwai, Takao', 'Episode Director']]
