animeTitle	Doraemon: It's Summer!
animeType	Special
animeNumEpisode	1
releaseDate	1980-08-08 00:00:00
endDate	
animeNumMembers	1382
animeScore	6.34
animeUsers	538
animeRank	6966
animePopularity	10345
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Doraemon (1979)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi']
animeVoices	[]
animeStaff	[['Fujiko, Fujio F.', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music']]
