animeTitle	b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 3rei!!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.53
animeUsers	51523
animeRank	
animePopularity	
animeDescription	"b'Waking up to find herself in a parallel version of Fuyuki City, Illyasviel ""Illya"" von Einzbern is lost and alone. She discovers her home in ruins, with a massive crater lying in the center of her hometown. With snow falling in the middle of summer, confusion consumes the young elementary schooler, who has no knowledge of where her friends or her wand Ruby may be.\n\nMaking it to the remains of her house, she is suddenly tackled by an amnesiac girl. Wearing a gym uniform as the icy temperature sets in, the mysterious girl has no idea of where she is or why she showed up. However, this stranger, known as Tanaka, apparently has information about the location of Rin Toosaka, Miyu Edelfelt, and the rest of Illya\'s missing friends. \n\nFleeing from agents of the Ainsworth family\xe2\x81\xa0\xe2\x80\x94those in control of this parallel realm\xe2\x80\x94where will these two end up, and how will Illya restore the present back to the world she once knew?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 3rei!!', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 2wei Herz!', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 3rei!! Specials', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya Movie: Licht - Namae no Nai Shoujo']
animeCharacters	[b'Gilgamesh', b'von Einzbern, Illyasviel', b'von Einzbern, Chloe', b'Edelfelt, Miyu', b'Toosaka, Rin', b'Emiya, Shirou', b'Matou, Sakura', b'Kotomine, Kirei', b'Edelfelt, Luviagelita', b'Fraga McRemitz, Bazett']
animeVoices	[b'\nEndou, Aya\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nShitaya, Noriko\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOonuma, Shin\n\nDirector\n\n', b'\nJinbo, Masato\n\nDirector\n\n', b'\nTakahashi, Ken\n\nDirector\n\n', b'\nTsuchiya, Masaki\n\nSound Director\n\n']
