animeTitle	Soukyuu no Fafner: Dead Aggressor - Exodus Special
animeType	Special
animeNumEpisode	1
releaseDate	2015-02-04 00:00:00
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	393
animeRank	
animePopularity	9901
animeDescription	An expanded version of the first episode of Soukyuu no Fafner: Dead Aggressor - Exodus included in the Blu-ray & DVD Vol.1.
animeRelated	['Soukyuu no Fafner: Dead Aggressor - Exodus']
animeCharacters	['Minashiro, Soushi', 'Toomi, Maya', 'Makabe, Kazuki', 'Memphis, Kanon', 'Tatekami, Seri', 'Kaname, Sakura', 'Mikado, Reo', 'Mikagami, Mimika', 'Kaburagi, Sui', 'Makabe, Fumihiko']
animeVoices	['Kiyasu, Kohei', 'Matsumoto, Marika', 'Ishii, Makoto', 'Kobayashi, Sanae', 'Fukuen, Misato', 'Arai, Satomi', 'Shimazaki, Nobunaga', 'Ishikawa, Yui', 'Ono, Kensho', 'Tanaka, Masahiko']
animeStaff	[]
