animeTitle	Soreyuke! Uchuu Senkan Yamamoto Youko
animeType	OVA
animeNumEpisode	3
releaseDate	1996-03-06 00:00:00
endDate	1996-06-05 00:00:00
animeNumMembers	4302
animeScore	6.07
animeUsers	1061
animeRank	8325
animePopularity	7442
animeDescription	"Meet Yohko Yamamoto - a cat-eyed, 15-year-old girl in the late 20th century with a love for videogames and Pocky. Because of her exceptional talent with arcade shooters, she's been recruited by Lawson to travel a thousand years into the future to pilot the prototype ship TA-29. Together with Ayano Elizabeth Hakuhoin, Madoka Midoh and Momiji Kagariya, Yohko leads the Terran team against Rouge and Ness' infamous Red Snappers in this epic space adventure. 

(Source: ANN)"
animeRelated	['Soreyuke! Uchuu Senkan Yamamoto Youko', 'Soreyuke! Uchuu Senkan Yamamoto Youko (1999)', 'Soreyuke! Uchuu Senkan Yamamoto Youko II']
animeCharacters	['Yamamoto, Yohko', 'Hakuhouin, Ayano Elizabeth', 'Midou, Madoka', 'Kagariya, Momiji', 'Leon, Zena', 'Lawson, Curtis', 'Meo-Lubrum, Nisu no', 'Meo-Eryutoron, Nisu no', 'Rouge', 'Meo-Toroll, Fluger von']
animeVoices	['Takayama, Minami', 'Miyamura, Yuko', 'Hayashibara, Megumi', 'Niiyama, Shiho', 'Katsuki, Masako', 'Matsumoto, Yasunori', 'Yukana', 'Suzuki, Masami', 'Tamagawa, Sakiko']
animeStaff	[['Shinbou, Akiyuki', 'Director, Episode Director, Storyboard'], ['Oohashi, Yoshimitsu', 'Episode Director, Storyboard, Key Animation'], ['Sekijima, Mayori', 'Script'], ['Nakayama, Katsuichi', 'Storyboard']]
