animeTitle	Yumeria
animeType	TV
animeNumEpisode	12
releaseDate	2004-01-09 00:00:00
endDate	2004-03-26 00:00:00
animeNumMembers	
animeScore	6.09
animeUsers	11613
animeRank	
animePopularity	3542
animeDescription	"On his 16th birthday, Tomokazu Mikuri had a realistic dream where he sees a girl battling a giant floating monstrosity. When he wakes up, he is surprised that the girl is actually sleeping next to him... Whenever he sleeps from now on, he ends up back at the dream world, and more and more people that he knows keep showing up there too. He finds out from a mysterious masked woman in the dream world named Silk that they are fighting against one named Faydoom, and he is the one who provides the powers to those girls so that they can fight these monsters. And so it goes...

(Source: ANN)"
animeRelated	[]
animeCharacters	['Neneko', 'Mone', 'Mikuri, Tomokazu', 'Senjou, Nanase', 'Agatsuma, Mizuki', 'Senjou, Kuyou', 'Neito', 'Mikuri, Tomoko', 'Ishikari, Mister', 'Head of the Family']
animeVoices	['Nakanishi, Tamaki', 'Arishima, Moyu', 'Hatano, Wataru', 'Inoue, Kikuko', 'Asano, Masumi', 'Nakayama, Sara', 'Suzuki, Mariko', 'Shioyama, Yuka', 'Inada, Tetsu', 'Hirose, Masashi']
animeStaff	[['Motonaga, Keitarou', 'Director, Episode Director, Storyboard'], ['Kikuta, Hiromi', 'Sound Director'], ['Yoshida, Shunji', 'Episode Director, Storyboard'], ['Kamitsubo, Ryouki', 'Episode Director']]
