animeTitle	b'Sei Michaela Gakuen Hyouryuuki'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	4.89
animeUsers	293
animeRank	
animePopularity	
animeDescription	b'Reborn as a woman named Aiko, the soldier rises as the military leader of a new crusade, successfully unites the world and abolishes all religion. Haunted by memories of a past life, Aiko travels backwards in time, and finds herself caught in an incredible battle to save the future.\n\n(Source: ANN)'
animeRelated	[b'Sei Michaela Gakuen Hyouryuuki II']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
