animeTitle	Urusei Yatsura Movie 6: Itsudatte My Darling
animeType	Movie
animeNumEpisode	1
releaseDate	1991-08-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	2034
animeRank	
animePopularity	6667
animeDescription	"Lupica, another one of the legion of space princesses that all seem to have found out about Earth in some tour book, appears and abducts Ataru! 

But Lupica isn't after Ataru for his great looks or charming personality (because he doesn't have either). Lupica's goal is the greatest love potion in the galaxy, which she intends to use to induce her sweetheart to tie the knot. To get it, she needs the possessor of the greatest lust in the universe...

(Source: AniDB)"
animeRelated	['Urusei Yatsura']
animeCharacters	['Lum', 'Moroboshi, Ataru', 'Mendo, Shutaro', 'Rio', 'Lupica', 'Ran', 'Fujinami, Ryuunosuke', 'Sakuranbou', 'Miyake, Shinobu', 'Satoshi']
animeVoices	['Hirano, Fumi', 'Furukawa, Toshio', 'Kamiya, Akira', 'Furumoto, Shinnosuke', 'Matsui, Naoko', 'Komiya, Kazue', 'Tanaka, Mayumi', 'Nagai, Ichiro', 'Shimazu, Saeko', 'Chiba, Shigeru']
animeStaff	[['Yamada, Katsuhisa', 'Director'], ['Takahashi, Rumiko', 'Original Creator'], ['Okamura, Tensai', 'Key Animation'], ['Nagahama, Hiroshi', 'Animation Check']]
