animeTitle	Space Fantasia 2001 Nights
animeType	OVA
animeNumEpisode	1
releaseDate	1987-06-21 00:00:00
endDate	
animeNumMembers	2663
animeScore	6.23
animeUsers	976
animeRank	7528
animePopularity	8703
animeDescription	"Based on Yukinobu Hoshino's 1984 manga in ""Action Comics; shot in ""Super Perspective Technique"".
It is the 21st century, and two young people were chosen. Adam was sent off into a space ship and was sent off into outer space...

(Source: ANN, AniDB)"
animeRelated	['2001-ya Monogatari', 'TO']
animeCharacters	['Robinson Jr., Adam', 'Toby', 'Adam', 'Leo', 'Karen', 'Chris', 'Clerk', 'Hannah', 'Narrator']
animeVoices	['Naya, Gorou', 'Horikawa, Ryo', 'Furukawa, Toshio', 'Ooki, Tamio', 'Murata, Hiromi', 'Fuchizaki, Yuriko', 'Noda, Keiichi', 'Tsuru, Hiromi', 'Nakanishi, Taeko']
animeStaff	[['Takeuchi, Yoshio', 'Director, Storyboard'], ['Aketagawa, Susumu', 'Sound Director'], ['Kanada, Yoshinori', 'Storyboard, Key Animation'], ['Nabeshima, Osamu', 'Storyboard, Key Animation']]
