animeTitle	Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu
animeType	Movie
animeNumEpisode	1
releaseDate	1993-07-10 00:00:00
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	63881
animeRank	
animePopularity	1591
animeDescription	Mr. Money is holding another Tenka'ichi Budokai and Mr. Satan invites everyone in the world to join in. Little does he know that Bojack, an ancient villain who has escaped his prison, is competing. Since Goku is currently dead, it is up to Gohan, Vegeta, and Trunks to defeat Bojack and his henchman.
animeRelated	['Dragon Ball Z']
animeCharacters	['Son, Gohan', 'Future Trunks', 'Bojack', 'Son, Gokuu', 'Vegeta', 'Piccolo', 'Bulma', 'Muten-Roushi', 'Kuririn', 'Yamcha']
animeVoices	['Nozawa, Masako', 'Kusao, Takeshi', 'Genda, Tesshou', 'Horikawa, Ryo', 'Furukawa, Toshio', 'Tsuru, Hiromi', 'Miyauchi, Kouhei', 'Tanaka, Mayumi', 'Furuya, Toru']
animeStaff	[['Yamauchi, Shigeyasu', 'Producer'], ['Watson, Barry', 'Producer'], ['Ueda, Yoshihiro', 'Director'], ['Koyama, Takao', 'Script']]
