animeTitle	Karakai Jouzu no Takagi-san: Water Slide
animeType	OVA
animeNumEpisode	1
releaseDate	2018-07-12 00:00:00
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	36756
animeRank	
animePopularity	2081
animeDescription	Special episode bundled with the 9th volume of the manga based on Chapter 57-59.
animeRelated	['Karakai Jouzu no Takagi-san']
animeCharacters	['Takagi', 'Nishikata', 'Hibino, Mina', 'Tsukimoto, Sanae', 'Kimura', 'Amakawa, Yukari', 'Mano', 'Nakai', 'Takao']
animeVoices	['Takahashi, Rie', 'Kaji, Yuki', 'Kohara, Konomi', 'Ogura, Yui', 'Ochiai, Fukushi', 'Ichimichi, Mao', 'Koiwai, Kotori', 'Uchida, Yuuma', 'Okamoto, Nobuhiko']
animeStaff	[['Enomoto, Takahiro', 'Sound Director'], ['Yamamoto, Souichirou', 'Original Creator'], ['Tsutsumi, Hiroaki', 'Music'], ['Mogi, Takuji', 'Key Animation, Chief Animation Director, Character Design']]
