animeTitle	b'Leonardo Hakase to Kirin-mura no Nakama-tachi'
animeType	b'ONA'
animeNumEpisode	15
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A collaboration between Japan Toys""R""Us and DLE. These episodes followed Dr. Leonardo from the Eagle Talon franchise; and two Giraffe brothers, relatives of the original Geoffrey the Giraffe.\n\nThe entry is the web-exclusive episodes of Leonardo Hakase to Kirin-mura no Nakama-tachi streamed on Toy""R""Us\' official website.'"
animeRelated	[b'Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu', b'Leonardo Hakase to Kirin-mura no Nakama-tachi (TV)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
