animeTitle	b'Netorare Zuma'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	2574
animeRank	
animePopularity	
animeDescription	"b""Reiko is sexually frustrated because her husband is obsessed with an idol that looks like her and only says the idols name during sex. Reiko tells Hiroaki's friend Taniguchi about this and offers to become sex friends to release all her pent up frustrations. """
animeRelated	[b'Netorare Zuma']
animeCharacters	[b'Reiko', b'Taniguchi', b'Hiroaki']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nIshige, Rui\n\nDirector, Episode Director, Storyboard, 2nd Key Animation, Character Design, Animation Director\n\n', b'\nLINDA\n\nOriginal Creator\n\n']
