animeTitle	Ame-iro Cocoa
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	4.71
animeUsers	10172
animeRank	
animePopularity	3613
animeDescription	"Aoi Tokura is a server at Rainy Color, a cozy and diverse cafe known for its hot cocoa. Along with barista Shion Koga, Aoi serves a small crowd of regulars who are attracted by his girlish good looks. When two handsome college students start frequenting the cafe as well, Aoi cannot help but be drawn into their lives.

[Written by MAL Rewrite]"
animeRelated	['Ame-iro Cocoa: Rainy Color e Youkoso!']
animeCharacters	['Sakuragi, Ryouta', 'Iwase, Keiichi', 'Tokura, Aoi', 'Koga, Shion', 'Tokura, Nozomu', 'Amami, Kouji']
animeVoices	['Miyano, Mamoru', 'Midorikawa, Hikaru', 'Shimono, Hiro', 'Hirakawa, Daisuke', 'Satou, Yuugo', 'Horikawa, Ryo']
animeStaff	[['Mochizuki, Tomomi', 'Director, Sound Director'], ['Shimono, Hiro', 'Theme Song Performance'], ['Izumo, Noriko', 'Sound Effects'], ['Takahashi, Atsuko', 'Character Design']]
