animeTitle	Samurai Girl Real Bout High School
animeType	TV
animeNumEpisode	13
releaseDate	2001-07-30 00:00:00
endDate	2001-10-22 00:00:00
animeNumMembers	
animeScore	5.95
animeUsers	3576
animeRank	
animePopularity	5461
animeDescription	"At Daimon High School, kids settle their disputes by dueling with each other in the school's official K-Fight battle arena. Ryoko Mitsurugi, samurai girl and undefeated K-Fight champion, is called upon by a mysterious Priestess to protect the Earth from an invasion coming from the alternate universe of Solvania. She must face battles that will test her skills, her friendships, and her heart in order to find her true strength as a samurai warrior. 

(Source: ANN)"
animeRelated	['Real Bout High School', 'Shoukan Kyoushi Real Bout High School']
animeCharacters	['Mitsurugi, Ryoko', 'Kusanagi, Shizuma', 'Kiribayashi, Azumi', 'Onizuka, Miyuki', 'Nakamura, Tamaki', 'Hishinuma, Nanako', 'Aoki, Misao', 'Shishikura, Tatsuya', 'Todo, Takao', 'Yuki, Hitomi']
animeVoices	['Kimura, Ikue', 'Seki, Tomokazu', 'Yukino, Satsuki', 'Nogawa, Sakura', 'Yoshida, Sayuri', 'Sumitomo, Yuuko', 'Chiba, Susumu', 'Ishizuka, Unshou', 'Nasu, Megumi']
animeStaff	[['Tokairin, Shinichi', 'Director, Script, Storyboard'], ['Inoue, Kazuhiko', 'Sound Director'], ['Satou, Hidekazu', 'Episode Director, Storyboard'], ['Sayama, Kiyoko', 'Storyboard']]
