animeTitle	Monster Extra: Hottan
animeType	Special
animeNumEpisode	1
releaseDate	2004-09-21 00:00:00
endDate	
animeNumMembers	9635
animeScore	6.63
animeUsers	3956
animeRank	5415
animePopularity	5383
animeDescription	Recap of the first 17 episodes of Monster, airing between episodes 24 and 25 of the TV series.
animeRelated	['Monster']
animeCharacters	['Liebert, Johan', 'Tenma, Kenzou', 'Lunge, Heinrich', 'Liebert, Anna', 'Heinemann, Eva', 'Dieter']
animeVoices	['Sasaki, Nozomu', 'Kiuchi, Hidenobu', 'Isobe, Tsutomu', 'Noto, Mamiko', 'Koyama, Mami', 'Takeuchi, Junko']
animeStaff	[['Urasawa, Naoki', 'Original Creator']]
