animeTitle	Kanon
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	24137
animeRank	
animePopularity	2271
animeDescription	"It’s been 7 years since Yuuichi Aizawa visited his aunt Akiko, but now that his parents have gone to Africa to pursue their careers, he is finally back in the little northern town. Yuuichi is not really overjoyed with the prospect of living here though, because all of his memories of this place and the people living in it have mysteriously vanished. His cute cousin Nayuki seems like a stranger as well, even though he used to play with her all the time when they were younger.

On the day of moving into his new home, Yuuichi starts unpacking the boxes and stumbles upon a red headband that no one seems to recognize. This is one of the first clues that will make Yuuichi take a stroll through the snow-covered town and make him start recalling fragments of his past, broken promises and buried secrets. Yuuichi soon realizes that there is something supernatural going on, and all of his new female acquaintances seem to have links to his forgotten past. "
animeRelated	['Kanon', 'Kanon Kazahana', 'Kanon (2006)']
animeCharacters	['Tsukimiya, Ayu', 'Kawasumi, Mai', 'Sawatari, Makoto', 'Aizawa, Yuuichi', 'Minase, Nayuki', 'Misaka, Shiori', 'Kurata, Sayuri', 'Minase, Akiko', 'Piro', 'Misaka, Kaori']
animeVoices	['Horie, Yui', 'Tamura, Yukari', 'Iizuka, Mayumi', 'Kisaichi, Atsushi', 'Kouda, Mariko', 'Sato, Akemi', 'Kawakami, Tomoko', 'Minaguchi, Yuko', 'Kawasumi, Ayako']
animeStaff	[['Kosaka, Harume', 'Producer'], ['Itou, Naoyuki', 'Director, Episode Director, Storyboard'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard']]
