animeTitle	b'Duel Masters Charge'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	2282
animeRank	
animePopularity	
animeDescription	b'Shobu has returned after his 3 years training with all his friends in Battle Arena tournament. However, Shobu encounters a new enemy Zakira and his followers, the Fua Duelists. Zakira is a strong kaijudo duelist like Hakuoh. After kidnapping Hakuoh, they turn him into an enemy! Shobu and his friends try to stop them, but will they make it in time? Or will Shobu lose everything and end up devastated!?\n\n(Source: DuelMasters.wikia.com)'
animeRelated	[b'Duel Masters', b'Zero Duel Masters']
animeCharacters	[b'Kirifuda, Shoubu', b'Kokujou, Kyoushirou', b'Tasogare, Mimi', b'Hakuou', b'Knight', b'Manaka, Sayuki', b'Kadoko, Rekuta']
animeVoices	[b'\nKobayashi, Yumiko\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nNakajima, Saki\nJapanese\n', b'\nMinagawa, Junko\nJapanese\n', b'\nImai, Yuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHariganeya, Hideo\n\nStoryboard\n\n', b'\nMatsumoto, Shigenobu\n\nOriginal Creator\n\n']
