animeTitle	Yami Shibai 9
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	1901
animeRank	
animePopularity	6020
animeDescription	Ninth season of Yami Shibai.
animeRelated	['Yami Shibai 8', 'Yami Shibai: Furuido']
animeCharacters	['Storyteller']
animeVoices	['Tsuda, Kanji']
animeStaff	[['Umetsu, Satoshi', 'Producer'], ['Funada, Akira', 'Producer, Director'], ['Kumamoto, Hiromu', 'Script'], ['Yamakawa, Norio', 'Planning']]
