animeTitle	Kimetsu Gakuen: Valentine-hen
animeType	ONA
animeNumEpisode	4
releaseDate	2021-02-14 00:00:00
endDate	
animeNumMembers	32627
animeScore	6.69
animeUsers	14408
animeRank	5162
animePopularity	3169
animeDescription	Valentine's Day special for Kimetsu no Yaiba. The first three episodes will be released on Aniplex's official YouTube channel, while the fourth and final episode will be streamed during the Kimetsu Matsuri Online: Anime 2nd Anniversary Festival.
animeRelated	['Kimetsu no Yaiba']
animeCharacters	['Kamado, Tanjirou', 'Agatsuma, Zenitsu', 'Kamado, Nezuko', 'Hashibira, Inosuke', 'Rengoku, Kyoujurou', 'Tomioka, Giyuu', 'Uzui, Tengen', 'Shinazugawa, Sanemi', 'Himejima, Gyoumei', 'Kochou, Kanae']
animeVoices	['Hino, Satoshi', 'Sakurai, Takahiro']
animeStaff	[]
