animeTitle	Senkou no Night Raid Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.87
animeUsers	2237
animeRank	
animePopularity	6933
animeDescription	Three un-aired episodes included on the BD/DVD volumes. See More Info for an episode list.
animeRelated	['Senkou no Night Raid']
animeCharacters	['Miyoshi, Aoi', 'Iha, Kazura', 'Sonogi, Yukina', 'Kagiya, Natsume', 'Yusa, Shizune', 'Sakurai, Shinichirou']
animeVoices	['Yoshino, Hiroyuki', 'Namikawa, Daisuke', 'Ikuta, Yoshiko', 'Hoshino, Takanori', 'Kawasumi, Ayako', 'Oobayashi, Ryuusuke']
animeStaff	[['Ayres, Christopher', 'ADR Director'], ['Sasaki, Keigo', 'Character Design'], ['Hakase, Taro', 'Music'], ['Ledford, John', 'Executive Producer']]
