animeTitle	b'Koiito Kinenbi The Animation'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	6752
animeRank	
animePopularity	
animeDescription	b'Based on the manga by TakayaKi.\n\nA collection of short but sweet romantic stories with happy endings.'
animeRelated	[b'Koiito Kinenbi']
animeCharacters	[b'Okunaga, Kanako', b'Himeno', b'Okunaga, Yurie', b'Aisha', b'Sasha', b'Okunaga, Anna']
animeVoices	[b'\nHitomi\nJapanese\n', b'\nTachibana, Shiho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRaika, Ken\n\nDirector\n\n', b'\nSawayama, Shinichiro\n\nScript\n\n', b'\nDoshida, Tomoaki\n\nStoryboard\n\n', b'\nTakayaKi\n\nOriginal Creator\n\n']
