animeTitle	Keroro
animeType	TV
animeNumEpisode	23
releaseDate	2014-03-22 00:00:00
endDate	2014-09-06 00:00:00
animeNumMembers	
animeScore	6.86
animeUsers	3018
animeRank	
animePopularity	5796
animeDescription	Second TV (flash animated) series of Keroro Gunsou.
animeRelated	['Keroro Gunsou']
animeCharacters	['Keroro', 'Giroro', 'Kururu', 'Tamama', 'Dororo', 'Hinata, Natsumi', 'Hinata, Fuyuki', 'Azumaya, Koyuki', 'Mois, Angol', 'Hinata, Aki']
animeVoices	['Watanabe, Kumiko', 'Nakata, Jouji', 'Koyasu, Takehito', 'Kozakura, Etsuko', 'Kusao, Takeshi', 'Saitou, Chiwa', 'Kuwashima, Houko']
animeStaff	[['Kasugamori, Haruki', 'Director'], ['Gojou, Mayumi', 'Theme Song Performance'], ['Yoshizaki, Mine', 'Original Creator'], ['SuperSweep', 'Music']]
