animeTitle	Tokyo Babylon
animeType	OVA
animeNumEpisode	2
releaseDate	1992-10-21 00:00:00
endDate	1994-03-21 00:00:00
animeNumMembers	
animeScore	6.71
animeUsers	7678
animeRank	
animePopularity	4285
animeDescription	"Subaru Sumeragi is the 13th head of the Sumeragi Clan and a most powerful onmyouji. Subaru is hired to exorcise a construction site, but his employer mysteriously died. The only suspect is a man who repeatedly walks away from situations in which he should have died. Then Subaru meets a young woman intent upon cursing the man, saying that he killed her brother. Subaru must figure out how his employer died and fight the evil spirits that are protecting the man with the help of his friend and twin sister, Seishirou Sakurazuka and Hokuto Sumeragi.

(Source: ANN)"
animeRelated	['Tokyo Babylon', 'X OVA', 'Tokyo Babylon: Vision', 'Tokyo Babylon 2021']
animeCharacters	['Sumeragi, Subaru', 'Sakurazuka, Seishirou', 'Sumeragi, Hokuto', 'Yamakawa', 'Mimura', 'Miyatake, Satoru', 'Subway Killer', 'Nishimura, Ikuma', 'Kono', 'Nagumo, Shinji']
animeVoices	['Yamaguchi, Kappei', 'Koyasu, Takehito', 'Itou, Miki', 'Yamadera, Kouichi', 'Tanaka, Hideyuki', 'Matsumoto, Yasunori', 'Kakegawa, Hirohiko', 'Ikeda, Shuuichi']
animeStaff	[['Chigira, Kouichi', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['CLAMP', 'Original Creator']]
