animeTitle	Tsukiuta. The Animation 2
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	1116
animeRank	
animePopularity	6437
animeDescription	"Six Gravity and Procellarum, Tsukino Talent Productions' best male idol groups, are preparing for this year's edition of the Full Moon Festival. The show's theme is ""a new self,"" which seems to excite all the members. Some of the members from both units struggle to find inspiration for the theme, having matured from their last festival appearance. As they continue their daily lives while juggling their show business responsibilities, each of the Six Gravity and Procellarum members discover the meaning of ""a new self.""

[Written by MAL Rewrite]"
animeRelated	['Tsukiuta. The Animation']
animeCharacters	['Shimotsuki, Shun', 'Mutsuki, Hajime', 'Minazuki, Rui', 'Uzuki, Arata', 'Satsuki, Aoi', 'Kisaragi, Koi', 'Nagatsuki, Yoru', 'Hazuki, You', 'Yayoi, Haru', 'Kannazuki, Iku']
animeVoices	['Kimura, Ryouhei', 'Toriumi, Kousuke', 'Aoi, Shouta', 'Hosoya, Yoshimasa', 'KENN', 'Masuda, Toshiki', 'Kondou, Takashi', 'Kakihara, Tetsuya', 'Maeno, Tomoaki', 'Ono, Kensho']
animeStaff	[['Nishimoto, Yukio', 'Director'], ['Kaji, Yuki', 'Theme Song Performance, Inserted Song Performance'], ['Ono, Kensho', 'Theme Song Performance, Inserted Song Performance'], ['Kakihara, Tetsuya', 'Theme Song Performance, Inserted Song Performance']]
