animeTitle	Shounen Ashibe 2
animeType	TV
animeNumEpisode	25
releaseDate	1992-10-03 00:00:00
endDate	1993-03-27 00:00:00
animeNumMembers	367
animeScore	
animeUsers	
animeRank	13343
animePopularity	13810
animeDescription	Sequel to Shounen Ashibe
animeRelated	['Shounen Ashibe', 'Shounen Ashibe (TV)', 'Shounen Ashibe: Go! Go! Goma-chan', 'Shounen Ashibe: Go! Go! Goma-chan 2', 'Shounen Ashibe: Go! Go! Goma-chan 3', 'Shounen Ashibe 2: Ashibe no Kanashii Yume', 'Shounen Ashibe Anzen Kyouiku Anime']
animeCharacters	['Goma-chan', 'Ashiya, Ashibe']
animeVoices	['Koorogi, Satomi', 'Sakamoto, Chika']
animeStaff	[['Ishizaki, Susumu', 'Director'], ['Hayase, Hiroyuki', 'Sound Director'], ['Miyamae, Mitsuharu', 'Art Director'], ['Shindou, Mitsuo', 'Character Design']]
