animeTitle	Sky Girls OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	3473
animeRank	
animePopularity	6167
animeDescription	"In the near future, Earth is at war with aliens called Worms. The war leaves the population of Earth decimated, with young men the main casualties. The Worms were beaten back but their re-emergence heralds the creation of a mecha unit called the Sonic Divers, piloted by 3 young girls to counter this threat.

(Source: ANN)"
animeRelated	['Sky Girls']
animeCharacters	['Sakurano, Otoha', 'Ichijou, Eika', 'Sonomiya, Karen', 'Mikogami, Haruko', 'Mikogami, Ranko', 'Tougou, Souya', 'Fujieda, Nanae', 'Tachibana, Ryohei', 'Hayami, Takumi', 'Hizuki, Rei']
animeVoices	['Kawasumi, Ayako', 'Itou, Shizuka', 'Gotou, Saori', 'Fujiwara, Keiji', 'Horie, Yui', 'Taniyama, Kishou', 'Shiraishi, Ryouko', 'Majima, Junji']
animeStaff	[['Iwasaki, Yoshiaki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Gotou, Saori', 'Theme Song Performance'], ['Kosaka, Riyu', 'Theme Song Performance']]
