animeTitle	Norakuro Nitouhei
animeType	Movie
animeNumEpisode	1
releaseDate	1935-01-01 00:00:00
endDate	
animeNumMembers	358
animeScore	5.6
animeUsers	147
animeRank	10074
animePopularity	13975
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Norakuro Nitouhei: Enshuu no Maki', 'Norakuro Nitouhei: Kyouren no Maki', 'Norakuro Ittouhei', 'Manga Revue Haru']
animeCharacters	['Norakuro']
animeVoices	[]
animeStaff	[['Seo, Mitsuyo', 'Director'], ['Tagawa, Suihou', 'Original Creator']]
