animeTitle	Malice@Doll
animeType	OVA
animeNumEpisode	3
releaseDate	2001-04-27 00:00:00
endDate	2001-06-22 00:00:00
animeNumMembers	
animeScore	5.93
animeUsers	1487
animeRank	
animePopularity	7376
animeDescription	"Malice, a sex robot living in an abandoned human city, is assaulted and violated by a mysterious creature. Upon awakening, Malice finds out that she has become human and can pass on her humanity to her fellow machines. However, her gift soon becomes a curse when her fellow robots rage out of control after being exposed to the pleasures of life.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Malice@Doll', 'Joe@Admin', 'Freddy@Licker', 'Doris@Doll', 'Elza@Doll', 'Amanda@Doll', 'Devo@Leukocyte', 'Heather@Doll']
animeVoices	['Yamada, Yukie', 'Nakamura, Daiki', 'Kondou, Takashi', 'Natsuki, Rio', 'Yuzuki, Ryouka', 'Soumi, Youko', 'Ootomo, Ryuuzaburou', 'Shima, Ryouka']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Konaka, Chiaki', 'Script, Original Creator']]
