animeTitle	Tensei shitara Slime Datta Ken 2nd Season Part 2
animeType	TV
animeNumEpisode	12
releaseDate	2021-07-06 00:00:00
endDate	2021-09-21 00:00:00
animeNumMembers	
animeScore	8.31
animeUsers	185670
animeRank	
animePopularity	389
animeDescription	"The nation of Tempest is in a festive mood after successfully overcoming the surprise attack from the Blumund Army and the Western Holy Church. Beyond the festivities lies a meeting between Tempest and its allies to decide the future of the Nation of Monsters. The aftermath of the Blumund invasion, Milim Nava's suspicious behavior, and the disappearance of Demon Lord Carrion—the problems seem to keep on piling up.

Rimuru Tempest, now awakened as a ""True Demon Lord,"" decides to go on the offensive against Clayman. With the fully revived ""Storm Dragon"" Veldora, ""Ultimate Skill"" Raphael, and other powerful comrades, the ruler of the Tempest is confident in taking down his enemies one by one until he can face the man pulling the strings.

[Written by MAL Rewrite]"
animeRelated	['Tensei shitara Slime Datta Ken', 'Tensei shitara Slime Datta Ken 2nd Season', 'Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2', 'Tensei shitara Slime Datta Ken Movie']
animeCharacters	['Tempest, Rimuru', 'Nava, Milim', 'Diablo', 'Shuna', 'Shion', 'Tempest, Veldora', 'Benimaru', 'Ranga', 'Souei', 'Gobuta']
animeVoices	['Okasaki, Miho', 'Hidaka, Rina', 'Sakurai, Takahiro', 'Senbongi, Sayaka', 'Ichimichi, Mao', 'Maeno, Tomoaki', 'Furukawa, Makoto', 'Kobayashi, Chikahiro', 'Eguchi, Takuya', 'Tomari, Asuna']
animeStaff	[['Terashima, Takuma', 'Theme Song Performance'], ['MindaRyn', 'Theme Song Performance'], ['Mitz Vah', 'Original Character Design'], ['Kawakami, Taiki', 'Original Character Design']]
