animeTitle	b'Soutai Sekai'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	1982
animeRank	
animePopularity	
animeDescription	b'The story is set in Japan in 2020. The story centers on Shin Hazama, and a version of himself who led a different life in another Japan appears. A crack opens in the everyday life that he thought was impossible to change. Boys and girls have to decide what to think and choose when the world changes completely. The battle with another world and another self begins.\n\n(Source: ANN)'
animeRelated	[b'Ashita Sekai ga Owaru toshitemo']
animeCharacters	[b'Izumi, Kotori', b'Hazama, Jin', b'Hazama, Shin', b'Miko', b'Riko', b'Izumi, Kotoko']
animeVoices	[b'\nUchida, Maaya\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakuragi, Yuuhei\n\nDirector, Script\n\n', b'\nR\xce\x9eOL\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Performance, Theme Song Arrangement\n\n', b'\nKawai, Hidehiro\n\nMusic\n\n', b'\nPALOW\n\nCharacter Design\n\n']
