animeTitle	Bio Hunter
animeType	OVA
animeNumEpisode	1
releaseDate	1995-12-08 00:00:00
endDate	
animeNumMembers	
animeScore	5.92
animeUsers	5018
animeRank	
animePopularity	5032
animeDescription	"Two scientists are attempting to distribute the cure for a demon virus that is affecting people all over Japan, however, things have become complicated. One of them has become infected. So begins his battle with himself, as he attempts to not only control his emerging demon side, but also to save the lives of others by wielding its great strength. 
"
animeRelated	['Bio Hunter']
animeCharacters	['Koshigaya', 'Komada', 'Murakami, Sayaka', 'Marie', 'Police Officer', 'OL', 'Yoshikawa', 'Murakami, Bokudo', 'Tabe, Seijuro']
animeVoices	['Inoue, Kazuhiko', 'Seki, Toshihiko', 'Minaguchi, Yuko', 'Igarashi, Rei', 'Nakamura, Daiki', 'Otsuka, Mizue', 'Ootomo, Ryuuzaburou', 'Otsuka, Chikao', 'Ishida, Tarou']
animeStaff	[['Kawajiri, Yoshiaki', 'Producer, Script, Key Animation'], ['Yamamoto, Mataichirou', 'Producer'], ['Takahashi, Naoko', 'Producer'], ['Satou, Yuuzou', 'Director, Storyboard']]
