animeTitle	Senki Zesshou Symphogear GX
animeType	TV
animeNumEpisode	13
releaseDate	2015-07-04 00:00:00
endDate	2015-09-26 00:00:00
animeNumMembers	40989
animeScore	7.43
animeUsers	18363
animeRank	1858
animePopularity	2769
animeDescription	"Following the events of Senki Zesshou Symphogear G, Hibiki Tachibana, Tsubasa Kazanari, and Chris Yukine continue to operate under the command of Genjuurou Kazanari. Meanwhile, Maria Cadenzavna Eve, Kirika Akatsuki, and Shirabe Tsukuyomi are taken into protective custody. With peace restored, everyone returns to their daily lives; however, the appearance of the alchemist Carol Malus Dienheim and her subordinates—the ""Autoscorers""—threatens to draw everyone back into a conflict. 

Armed with a strange and magical power, Carol wishes to initiate the apocalypse and bring destruction to the world... and she is willing to sacrifice everything to do so. Against this mysterious new foe, the six Symphogear wielders must rise to the challenge in order to protect what they hold dear. However, will Carol and her Autoscorers prove to be too much to handle in this fight to protect the fate of the world?

[Written by MAL Rewrite]"
animeRelated	['Senki Zesshou Symphogear G', 'Senki Zesshou Symphogear GX: Senki Zesshou Shinai Symphogear', 'Senki Zesshou Symphogear AXZ']
animeCharacters	['Yukine, Chris', 'Tachibana, Hibiki', 'Kazanari, Tsubasa', 'Akatsuki, Kirika', 'Cadenzavna Eve, Maria', 'Tsukuyomi, Shirabe', 'Kohinata, Miku', 'Malus Dienheim, Carol', 'Kazanari, Genjuurou', 'Vercingetorix, John Wayne']
animeVoices	['Takagaki, Ayahi', 'Yuuki, Aoi', 'Mizuki, Nana', 'Kayano, Ai', 'Hikasa, Youko', 'Nanjou, Yoshino', 'Iguchi, Yuka', 'Minase, Inori', 'Ishikawa, Hideo', 'Sugita, Tomokazu']
animeStaff	[['Ono, Katsumi', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Ishida, Tooru', 'Episode Director'], ['Ishikawa, Shunsuke', 'Episode Director, Spotting']]
