animeTitle	b'Pokemon XY'
animeType	b'TV'
animeNumEpisode	93
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	77523
animeRank	
animePopularity	
animeDescription	"b""Satoshi and Pikachu have arrived in Miare City of the illustrious Kalos region to capture more Pokemon and continue their journey towards becoming the very best. Meanwhile, a genius inventor named Citron and his little sister Eureka wander the city when they run into Satoshi who quickly challenges them to a battle. However, they are soon caught up in a dangerous incident when Team Rocket, following Satoshi into Kalos, cause a Gaburias to rampage through the city.\n\nFar away in the quiet Asame Town, a young girl named Serena slogs through daily Sihorn riding practice at the behest of her mother, a professional Sihorn racer. After practice, she sees the events unfolding in Miare City on television where she recognizes a boy from her childhood. Having left a significant impact on her life, the sight of him stirs in her a desire to meet him again; and so, Serena sets off to Miare City, determined to find the boy from her past.\n\nPokemon XY follows the group as they travel throughout Kalos in pursuit of their ambitions\xe2\x80\x94Satoshi challenging Pokemon gyms, Citron learning from Satoshi, and Serena searching for what exactly her dream is. Along the way, they meet new friends, face new rivals, and continue to thwart Team Rocket's schemes, all the while discovering a little about the mysteries of mega evolution.\n\n[Written by MAL Rewrite]"""
animeRelated	"[b'Pokemon Best Wishes! Season 2: Decolora Adventure', b'Pokemon XY SP: Road to Kalos', b'Pokemon Movie 17: Hakai no Mayu to Diancie', b'Pokemon: Pikachu, Kore Nan no Kagi?', b'Pokemon XY: Mega Evolution', b'Pokemon XY: Sora no Hahen', b'Pokemon XY: Koukoku no Princess Diancie', b'Pokemon Movie 18: Ring no Choumajin Hoopa', b'Pokemon XY: New Year Special', b""Pokemon XY: New Year's Eve 2014 Super Mega Special"", b'Pokemon: Pikachu to Pokemon Ongakutai', b'Pokemon XY: Hoopa no Odemashi Daisakusen!!', b'Pokemon XY&Z', b'Pokemon Generations']"
animeCharacters	[b'Pikachu', b'Satoshi', b'Serena', b'Citron', b'Eureka', b'Kojirou', b'Musashi', b'Nyarth', b'Lucario', b'Eevee']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nMakiguchi, Mayuki\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nKanai, Mika\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nInuyama, Inuko\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHosoya, Nobuyuki\n\nProducer\n\n', b'\nYuyama, Kunihiko\n\nDirector\n\n', b'\nYajima, Tetsuo\n\nDirector, Episode Director, Storyboard\n\n', b'\nMima, Masafumi\n\nSound Director\n\n']
