animeTitle	Tamashii Insert
animeType	OVA
animeNumEpisode	2
releaseDate	2017-07-07 00:00:00
endDate	2017-10-06 00:00:00
animeNumMembers	
animeScore	6.88
animeUsers	7854
animeRank	
animePopularity	4307
animeDescription	Half a year after Naoto Takahashi's father got remarried, he hasn't gotten used to the new family members: his stepmother, Sachiko, and his new little sister, Yui. One night as he tries to figure out how to smooth things over with his sister, he gets an app to allows him to take over someone else's body.
animeRelated	['Tamashii Insert: Fushigi App de Ano Ko ni Hyoui']
animeCharacters	['Takahashi, Yui', 'Ichimiya, Alisa', 'Naoto', 'Shintani, Miki', 'Nabiko']
animeVoices	['Momoyama, Ion', 'Igarashi, Hiromi', 'Tamiyasu, Tomoe']
animeStaff	[['Taniguchi-san', 'Original Creator']]
