animeTitle	Shin Calimero
animeType	TV
animeNumEpisode	52
releaseDate	1992-10-15 00:00:00
endDate	1993-09-09 00:00:00
animeNumMembers	1986
animeScore	6.21
animeUsers	865
animeRank	7627
animePopularity	9463
animeDescription	The series tells about many adventures of the small fledgling Calimero and his friends, who uncover many secrets, sometimes getting into trouble along the way.
animeRelated	['Calimero']
animeCharacters	['Calimero', 'Priscilla', 'Giuliano', 'Jobatta, Peter']
animeVoices	['Adachi, Shinobu', 'Okamura, Akemi']
animeStaff	[['Utsunomiya, Satoru', 'Key Animation'], ['Lax, Francis', 'ADR Director']]
