animeTitle	b'Strike Witches'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.98
animeUsers	60157
animeRank	
animePopularity	
animeDescription	"b'In the year 1939, humanity was on the verge of destruction. Equipped with weapons of devastating power, a mysterious alien race, known as the Neuroi, began an invasion of the Earth, ravaging the planet, obliterating countries, and vanquishing human armies. To counter this seemingly unstoppable force, the world\'s powers united. A new device was produced, called the Striker Unit, capable of facing Neuroi technology. Girls equipped with the Striker Unit became known as the Witches, forming humanity\'s last line of defense. They began their fight against the Neuroi, utilizing their now-enhanced magical abilities, flaunting destructive weapons no human could manage.\n\nFast forward to 1944\xe2\x80\x94Yoshika Miyafuji is a young teenage girl who eventually decides to join the 501st Joint Fighter Wing, known as the ""Strike Witches."" With no formal training however, can Miyafuji learn to cooperate with her fellow Strike Witches? And if so, can she save humanity from the Neuroi onslaught?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Strike Witches: Tenkuu no Otome-tachi', b'Strike Witches: Otome no Maki', b'Strike Witches OVA', b'Brave Witches', b'Strike Witches: 501 Butai Hasshin Shimasu!', b'Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches']
animeCharacters	[b'Litvyak, Sanya V.', b'Hartmann, Erica', b'Juutilainen, Eila Ilmatar', b'Lucchini, Francesca', b'Miyafuji, Yoshika', b'Sakamoto, Mio', b'Barkhorn, Gertrud', b'Clostermann, Perrine H.', b'Bishop, Lynette', b'Yeager, Charlotte E.']
animeVoices	[b'\nKadowaki, Mai\nJapanese\n', b'\nNogawa, Sakura\nJapanese\n', b'\nOhashi, Ayuru\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nFukuen, Misato\nJapanese\n', b'\nChiba, Saeko\nJapanese\n', b'\nSonozaki, Mie\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakamura, Kazuhiro\n\nDirector, Character Design\n\n', b'\nYoshida, Tomohiro\n\nSound Director\n\n', b'\nKanbe, Hiroyuki\n\nEpisode Director\n\n', b'\nSaeki, Shouji\n\nEpisode Director, Script, Storyboard\n\n']
