animeTitle	b'Fukumenkei Noise'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.99
animeUsers	39351
animeRank	
animePopularity	
animeDescription	"b'Every day, a young girl wearing a mask stands by the beach and sings a nostalgic melody. After experiencing two sudden heart-wrenching partings when she was only a child, Nino Arisugawa has been singing her songs to the ocean, bound by a promise made with her two childhood friends\xe2\x80\x94her first love, Momo Sakaki, and a boy who composed music, Kanade ""Yuzu"" Yuzuriha. Having never met each other, the boys both individually promised that if Nino was ever separated from them, her voice would be the beacon to reunite them once again.\n\nAfter six long years, destiny has finally placed Nino, Momo, and Yuzu in the same high school. However, the passage of time has changed many things in their lives\xe2\x80\x94while Nino relentlessly attempts to fulfill her childhood promise with the boys, Yuzu\'s feelings for her from the past resurface, and Momo goes to great lengths to prevent a reunion with Nino. Through music, will they be able to mend their friendship and overcome all the feelings involved in this complicated love triangle?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Fukumenkei Noise']
animeCharacters	"[b'Yuzuriha, Kanade', b'Arisugawa, Nino', b'Sakaki, Momo', b'Haruno, Yoshito', b'Suguri, Miou', b'Kurose, Ayumi', b""Momo's Mother"", b""Yuzu's Mother"", b""Nino's Mother"", b'Yanai, Michiru']"
animeVoices	[b'\nYamashita, Daiki\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Hideya\n\nDirector\n\n', b'\nYamaguchi, Takayuki\n\nSound Director\n\n', b'\nTerasawa, Kazuaki\n\nEpisode Director\n\n', b'\nHayami, Saori\n\nTheme Song Performance, Inserted Song Performance\n\n']
