animeTitle	Girls & Panzer Specials
animeType	Special
animeNumEpisode	6
releaseDate	2012-12-21 00:00:00
endDate	2013-06-21 00:00:00
animeNumMembers	
animeScore	7.19
animeUsers	17100
animeRank	
animePopularity	3163
animeDescription	Mini episodes bundled with Blu-rays and DVDs.
animeRelated	['Girls & Panzer']
animeCharacters	['Akiyama, Yukari', 'Reizei, Mako', 'Nishizumi, Miho', 'Isuzu, Hana', 'Takebe, Saori', 'Matsumoto, Riko', 'Kadotani, Anzu', 'Kawashima, Momo', 'Nogami, Takeko', 'Sugiyama, Kiyomi']
animeVoices	['Nakagami, Ikumi', 'Iguchi, Yuka', 'Fuchigami, Mai', 'Ozaki, Mami', 'Kayano, Ai', 'Moriya, Satomi', 'Fukuen, Misato', 'Ueda, Kana', 'Ohashi, Ayuru', 'Inoue, Yuka']
animeStaff	[['Kayano, Ai', 'Theme Song Performance'], ['Iguchi, Yuka', 'Theme Song Performance'], ['Fuchigami, Mai', 'Theme Song Performance'], ['ChouCho', 'Theme Song Performance']]
