animeTitle	b'Terra Formars: Earth-hen'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	1326
animeRank	
animePopularity	
animeDescription	b'Bundled with the 21st and 22nd volumes, the OVAs adapt the Earth arc of the manga.'
animeRelated	[b'Terra Formars', b'Terra Formars: Revenge']
animeCharacters	[b'Kusama, Asatarou']
animeVoices	[b'\nHirakawa, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHorikawa, Yoshinori\n\nColor Design\n\n']
