animeTitle	Sailor Victory
animeType	OVA
animeNumEpisode	2
releaseDate	1995-06-25 00:00:00
endDate	1995-08-25 00:00:00
animeNumMembers	1616
animeScore	5.79
animeUsers	632
animeRank	9389
animePopularity	9997
animeDescription	"Five Female high school friends reunite as the secret crime-fighting organization known as Sailor Victory. Commanding 3 giant Ninja Robots, Gion, Momoyama and Sagano, they fight evil in the virtual-future city of Mikado. When a disgraced and disgruntled city official turns to the dark side, he joins forces with the evil and sinister Margarita.

(Source: ANN)"
animeRelated	['Sotsugyou: Graduation']
animeCharacters	['Arai, Kiyomi', 'Android Mami', 'Katou, Mika', 'Takagi, Reiko', 'Nakamoto, Shizuka', 'Shimura, Mami', 'Chief', 'Margarita']
animeVoices	['Tsuru, Hiromi', 'Yoshino, Hinako', 'Shimakata, Junko', 'Touma, Yumi', 'Hisakawa, Aya', 'Nishimura, Tomomichi', 'Amano, Yuri']
animeStaff	[['Nishijima, Katsuhiko', 'Director'], ['Kanemaki, Kenichi', 'Screenplay'], ['Mouri, Kazuaki', 'Character Design']]
