animeTitle	b'Shin-Men'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	335
animeRank	
animePopularity	
animeDescription	b'The spinoff is set in a parallel world known as Shin Jigen (Shin Dimension). The titular Shin-men team is composed of five heroes with supernatural powers symbolized by fire (Gou), water (Sui), wind (Hyuu), greenery (Nyoki), and iron (Kan). Together, they fight against their enemy, the evil pigs of Ton-Men.\n\n(Source: AniDB)'
animeRelated	[b'Crayon Shin-chan']
animeCharacters	[b'Iron Shin-Men Kan', b'Kon']
animeVoices	[b'\nSaiga, Mitsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuasa, Masaaki\n\nDirector, Episode Director, Storyboard, Theme Song Lyrics, Animation Director\n\n', b'\nMutou, Yuuji\n\nEpisode Director, Storyboard\n\n', b'\nSuginami Jidou Gasshoudan\n\nTheme Song Performance\n\n', b'\nSueyoshi, Yuuichirou\n\nAnimation Director\n\n']
