animeTitle	Kuroko no Basket NG-shuu
animeType	Special
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	7.67
animeUsers	29985
animeRank	
animePopularity	2254
animeDescription	Animated bloopers, based on the extra section of the original manga series, included with the BD/DVD series for Kuroko no Basket (both limited and normal editions).
animeRelated	['Kuroko no Basket']
animeCharacters	['Kuroko, Tetsuya', 'Kagami, Taiga', 'Aomine, Daiki', 'Akashi, Seijuurou', 'Kise, Ryouta', 'Midorima, Shintarou', 'Kiyoshi, Teppei', 'Takao, Kazunari', 'Momoi, Satsuki', 'Hyuuga, Junpei']
animeVoices	['Ono, Kensho', 'Ono, Yuuki', 'Suwabe, Junichi', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Ono, Daisuke', 'Hamada, Kenji', 'Suzuki, Tatsuhisa', 'Orikasa, Fumiko', 'Hosoya, Yoshimasa']
animeStaff	[['Fujimaki, Tadatoshi', 'Original Creator']]
