animeTitle	MILGЯAM
animeType	Music
animeNumEpisode	Unknown
releaseDate	2020-05-15 00:00:00
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	254
animeRank	
animePopularity	9964
animeDescription	"Interactive collaborative multimedia music project between DECO*27 and Takuya Yamanaka.
"
animeRelated	[]
animeCharacters	['Kayano, Mikoto', ' Kusunoki, Mu', 'Es', 'Kajiyama, Fuuta', 'Shiina, Mahiru', 'Sakurai, Haruka', 'Yuzuriha, Kotoko', 'Kirisaki, Shidou', 'Momose, Amane', 'Kashiki, Yuno']
animeVoices	[]
animeStaff	[['DECO*27', 'Music']]
