animeTitle	Saimin Jutsu Zero
animeType	OVA
animeNumEpisode	2
releaseDate	2013-05-17 00:00:00
endDate	2013-09-06 00:00:00
animeNumMembers	
animeScore	6.34
animeUsers	1668
animeRank	
animePopularity	7029
animeDescription	"Murakoshi Shinta appears to be just a doctor at a school, but secretly he has been taking advantage of his position to hypnotize any female student he likes. Now, after putting all of his targets under his control, he begins to turn the unfortunate girls into his sex slaves...

(Source: AniDB)"
animeRelated	['Saimin Jutsu The Animation 2nd', 'Saimin Jutsu Zero Special']
animeCharacters	['Kasatani, Rie', 'Kirishima, Manami', 'Kurihara, Chisato', 'Serizawa, Yumiko', 'Kirishima, Saiyuri', 'Murakoshi, Shinta', 'Sakurai, Susumu']
animeVoices	['Uchino, Pochi', 'Ichigoyama, Buntarou', 'Joubu, Koushin']
animeStaff	[['Masudate, Toshihide', 'Character Design'], ['Sakai, Keishi', 'Key Animation']]
