animeTitle	World Fool News
animeType	ONA
animeNumEpisode	6
releaseDate	2013-04-01 00:00:00
endDate	2013-05-06 00:00:00
animeNumMembers	702
animeScore	5.52
animeUsers	272
animeRank	10333
animePopularity	12067
animeDescription	"Takahashi is transferred to a main anchor of a news program, which is known for being a little...weird. This is a comedy about somewhat ridiculous happenings occurring at a broadcasting station.

(Source: YouTube)"
animeRelated	['World Fool News (TV)']
animeCharacters	['Shimohira, Kanae', 'Takahashi, Ichitarou', 'Goshogawara, Shuuhei', 'Imai, Reiho', 'Syu, Tomimoto', 'Shimoto, Wataru', 'Yamazoto', 'Fujiwara, Madoka', 'Kitagawa', 'Usui, Takahito']
animeVoices	[]
animeStaff	[['Yamada, Haru', 'Sound Effects']]
