animeTitle	b'Norasco'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Follows an easygoing Scottish Fold's mundane everyday life."""
animeRelated	[b'Norasco (TV)', b'Norasco: Cinema Point Card-hen']
animeCharacters	[b'Kotarou']
animeVoices	[b'\nUchiyama, Yuji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUchiyama, Yuji\n\nOriginal Character Design, Original Creator\n\n']
