animeTitle	Goblin Slayer 2nd Season
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	92228
animeScore	
animeUsers	
animeRank	
animePopularity	1745
animeDescription	Second season of Goblin Slayer.
animeRelated	"['Goblin Slayer', ""Goblin Slayer: Goblin's Crown""]"
animeCharacters	['Goblin Slayer', 'Onna Shinkan', 'Elf', 'Lizardman', 'Dwarf']
animeVoices	[]
animeStaff	[['Kagyuu, Kumo', 'Original Creator'], ['Kannatsuki, Noboru', 'Original Character Design']]
