animeTitle	Koukyoushihen Eureka Seven Hi-Evolution 1
animeType	Movie
animeNumEpisode	1
releaseDate	2017-09-16 00:00:00
endDate	
animeNumMembers	15664
animeScore	6.29
animeUsers	2452
animeRank	7254
animePopularity	4450
animeDescription	"It all begins with the story that was left untold—the earth-shattering incident where Renton's father disappeared. With the mysterious pilot Eureka by his side, only Adroc Thurston could undo his own mistake, sparking the event that changed everything and earned him the title of a hero. Now, ten years later, Eureka lies in critical condition as Renton leaves the crew of the Gekko. But when he finds himself in the care of his father's old friends, he has a choice to make. Either stay with the loving family he's always wanted, or earn the love he seeks.

(Source: Funimation Films)"
animeRelated	['Koukyoushihen Eureka Seven', 'Koukyoushihen Eureka Seven Hi-Evolution 2: Anemone']
animeCharacters	['Eureka', 'Thurston, Renton', 'Novak, Holland', 'Yuuki, Talho', 'Beams, Charles', 'Beams, Ray', 'Novak, Dewey', 'Thurston, Adroc']
animeVoices	['Nazuka, Kaori', 'Sanpei, Yuuko', 'Morikawa, Toshiyuki', 'Neya, Michiko', 'Kosugi, Juurouta', 'Hisakawa, Aya', 'Tsujitani, Kouji', 'Furuya, Toru']
animeStaff	[['Kyouda, Tomoki', 'Director'], ['Shimizu, Hisatoshi', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Satou, Dai', 'Script']]
