animeTitle	Niji no Kizuna
animeType	OVA
animeNumEpisode	1
releaseDate	2011-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17435
animeDescription	"An educational film about the bystander effect and indifference in Japan. A mentality that ""it's not happening to me, so it's not my problem"" towards the discrimination of others, those suffering from disease, those displaced by the 2011 Touhoku earthquake, etc."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
