animeTitle	Wan Jie Fa Shen
animeType	ONA
animeNumEpisode	54
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	505
animeRank	
animePopularity	10493
animeDescription	"At the end of the calendar 2020, the continent of Stern, which has reached the end of civilization due to the exhaustion of magic elements, ushered in the destruction of the continent under the void storm. Ye Xuan, the last god of law in the mainland, unexpectedly awakened in the era of the prosperous magic civilization three thousand years ago and became an ordinary student at the Sith Magic Academy on the border of the Kingdom of Orlando in the northwest of the mainland. In order to save the mainland and prevent the end from coming, Ye Xuan began to explore the mystery of the dark turmoil that led to the depletion of magical elements in the mainland three thousand years ago, to prevent the mainland crisis.

(Source: Donghua Info)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
