animeTitle	Malta no Utaou
animeType	Music
animeNumEpisode	6
releaseDate	2019-06-13 00:00:00
endDate	2019-12-15 00:00:00
animeNumMembers	88
animeScore	
animeUsers	
animeRank	17157
animePopularity	17923
animeDescription	A musical rendition of the Malta no Bouken franchise. Each episode is a music video facilitating healthy habits (eg. episode 1 is an enka song about brushing teeth).
animeRelated	['Malta no Bouken Season 3']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
