animeTitle	Virus: Virus Buster Serge
animeType	TV
animeNumEpisode	12
releaseDate	1997-10-03 00:00:00
endDate	1997-12-19 00:00:00
animeNumMembers	3843
animeScore	5.46
animeUsers	1248
animeRank	10509
animePopularity	7742
animeDescription	"Neo Hong Kong, 2097: The world has changed. Advances in genetic engineering and cybernetics have created an environment full of artificially enhanced humans and intelligent super-computers that operate using biological software. But the same technology that has allowed man and machine to merge has made both susceptible to a new kind of threat—digital viruses capable of controlling their hosts.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Train, Serge', 'Tinen, Erika', 'Alexander Bogard, Macus', 'Donna', 'Jouichirou', 'Kim', 'Brain Lizard', 'Raven', 'Colder, Mirei G']
animeVoices	['Miki, Shinichiro', 'Iizuka, Mayumi', 'Nanba, Keiichi', 'Orikasa, Ai', 'Hiyama, Nobuyuki', 'Kuwashima, Houko', 'Yao, Kazuki', 'Suzuoki, Hirotaka', 'Ikezawa, Haruna']
animeStaff	[['Oobari, Masami', 'Director, Episode Director, Script, Storyboard, Character Design, Animation Director, Key Animation, Screenplay'], ['Kameyama, Toshiki', 'Sound Director'], ['Minakami, Seishi', 'Script'], ['Taniguchi, Gorou', 'Storyboard']]
