animeTitle	b'Zettai Muteki Raijin-Oh'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.74
animeUsers	399
animeRank	
animePopularity	
animeDescription	b'Suddenly, an evil empire, Jaaku, raids the Earth. But the light appears from the Earth, and fights against Jaaku. It is Raijin Oh operated by Eldran. Eldran has protected the earth since the ancient ages. But he was injured during the fight, and Raijin-Oh falls to the ground. On the other hand, Jaaku scatters their weapons, Aku-Darmer, all over the world.\nMeanwhile, in Youshou elementary school, they have extra lessons in the 3rd class of the 5th grade. Eldran leaves Raijin Medal to them and asks them to save the Earth for him, and then he disappeared. In this way, the Earth Defense Agency consisted of elementary students is founded.\n\n(Source: AnimeNfo)'
animeRelated	[b'Zettai Muteki Raijin-Oh (1992)', b'Genki Bakuhatsu Ganbaruger', b'Nekketsu Saikyou Go-Saurer']
animeCharacters	[b'Hoshiyama, Kouji', b'Hyuuga, Jin', b'Shiratori, Maria', b'Tsukishiro, Asuka', b'Izumi, Yuu', b'Himeki, Ruruko', b'Falzeb', b'Eldran', b'Kuriki, Youko', b'Belzeb']
animeVoices	[b'\nMaruta, Mari\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nYoshida, Konami\nJapanese\n', b'\nIwatsubo, Rie\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nShimada, Bin\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUchida, Kenji\n\nProducer\n\n', b'\nKawase, Toshifumi\n\nDirector, Episode Director, Script, Storyboard\n\n', b'\nTaniguchi, Gorou\n\nEpisode Director, Storyboard, Setting Manager\n\n', b'\nYamaguchi, Yuuji\n\nEpisode Director, Storyboard\n\n']
