animeTitle	b'K-On!!'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	8.16
animeUsers	313666
animeRank	
animePopularity	
animeDescription	b'It is the new year, which means that the senior members of the Light Music Club are now third-years, with Azusa Nakano being the only second-year. The seniors soon realize that Azusa will be the only member left once they graduate and decide to recruit new members. Despite trying many methods of attracting underclassmen\xe2\x80\x94handing out fliers, bringing people into the clubroom, and performing at the welcoming ceremony\xe2\x80\x94there are no signs of anyone that plans to join.\n\nWhile heading to the clubroom, Azusa overhears Yui Hirasawa say that the club is fine with only five people and that they can do many fun things together. Changing her mind, she decides that they do not need to recruit any members for the time being. \n\nK-On!! revolves around the members of the Light Music Club as they experience their daily high school life. From rehearsing for concerts to just messing around, they are ready to make their last year together an exciting one!\n\n[Written by MAL Rewrite]'
animeRelated	[b'K-On!', b'K-On!!: Ura-On!!', b'K-On! Movie', b'K-On!!: Keikaku!']
animeCharacters	[b'Hirasawa, Yui', b'Akiyama, Mio', b'Nakano, Azusa', b'Kotobuki, Tsumugi', b'Tainaka, Ritsu', b'Hirasawa, Ui', b'Yamanaka, Sawako', b'Manabe, Nodoka', b'Suzuki, Jun', b'Tainaka, Satoshi']
animeVoices	[b'\nToyosaki, Aki\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nKotobuki, Minako\nJapanese\n', b'\nSatou, Satomi\nJapanese\n', b'\nYonezawa, Madoka\nJapanese\n', b'\nSanada, Asami\nJapanese\n', b'\nFujitou, Chika\nJapanese\n', b'\nNagata, Yoriko\nJapanese\n', b'\nItou, Mika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHatta, Youko\n\nProducer\n\n', b'\nNakamura, Shinichi\n\nProducer\n\n', b'\nYamada, Naoko\n\nDirector, Episode Director, Storyboard\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n']
