animeTitle	b'Hoshizora Kiseki'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	4581
animeRank	
animePopularity	
animeDescription	b'Kozue is a girl who loves astronomy, particularly the stars. One night, on an excursion to witness a meteorite, she meets Ginga, a boy who is able to help scientists discover more information about the stars through a mysterious ability of his. However, he is forced to stay in a protective suit in order to carry out his mission. Because of this, Kozue decides to convince Ginga to make his own decisions & to take off the suit using his own will. \n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Ginga', b'Kozue']
animeVoices	[b'\nChikiri, Kyouko\nJapanese\n', b'\nHosono, Yumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Akio\n\nDirector, Storyboard, Animation Director, Screenplay, Color Design, Character Design\n\n', b'\nMatsubara, Toshikazu\n\nDirector, Storyboard, Screenplay, Original Creator, Character Design, Animation Director, Color Design\n\n', b'\nAbe, Jun\n\nMusic\n\n', b'\nMuto, Seiji\n\nMusic\n\n']
