animeTitle	Yuuyake Dandan
animeType	Movie
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11116
animeDescription	Short films screened at 109 Cinemas during previews. 
animeRelated	[]
animeCharacters	['Nanami', 'Kotobuki']
animeVoices	['Shiba, Akane', 'Yamadera, Kouichi']
animeStaff	[['WEST GROUND', 'Producer'], ['Nimura, Hideki', 'Director'], ['Nozaki, Keiichi', 'Sound Director'], ['Fujisawa, Bunoh', 'Script']]
