animeTitle	b'Ao no 6-gou'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	20993
animeRank	
animePopularity	
animeDescription	"b""The once famous and well respected scientist Zorndyke has bred a new genre of living being, one that thrives on the oceans and lives to destroy humans. Zorndyke believes it is time that the humans were relieved of their rule of the earth. It is up to Blue Submarine No. 6 and the rest of the Blue fleet to put an end to Zorndyke's madness and creations. \n\n(Source: ANN)\n"""
animeRelated	[b'Ao no 6-gou']
animeCharacters	"[b'Hayami, Tetsu', b'Verg', b'Kino, Mayumi', b'Mutio', b'Zorndyke, Yung', b'Nonaka, Katsuma', b""Gilford, N'duhlle"", b'Velasco, Frida', b'Burnel, Jean-Jacques', b'David, Alessandro']"
animeVoices	[b'\nGouda, Hozumi\nJapanese\n', b'\nMorikubo, Shoutarou\nJapanese\n', b'\nYukana\nJapanese\n', b'\nNagasawa, Miki\nJapanese\n', b'\nWakamatsu, Takeshi\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nTakashima, Gara\nJapanese\n', b'\nSoumi, Youko\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaseba, Yutaka\n\nProducer\n\n', b'\nMaeda, Mahiro\n\nDirector, Storyboard, Key Animation, Mechanical Design\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nYamaguchi, Hiroshi\n\nScript\n\n']
